emp_no,dept_no,from_date,to_date
10001,d005,6/26/1986,1/1/9999
10002,d007,8/3/1996,1/1/9999
10003,d004,12/3/1995,1/1/9999
10004,d004,12/1/1986,1/1/9999
10005,d003,9/12/1989,1/1/9999
10006,d005,8/5/1990,1/1/9999
10007,d008,2/10/1989,1/1/9999
10008,d005,3/11/1998,7/31/2000
10009,d006,2/18/1985,1/1/9999
10010,d004,11/24/1996,6/26/2000
10010,d006,6/26/2000,1/1/9999
10011,d009,1/22/1990,11/9/1996
10012,d005,12/18/1992,1/1/9999
10013,d003,10/20/1985,1/1/9999
10014,d005,12/29/1993,1/1/9999
10015,d008,9/19/1992,8/22/1993
10016,d007,2/11/1998,1/1/9999
10017,d001,8/3/1993,1/1/9999
10018,d004,7/29/1992,1/1/9999
10018,d005,4/3/1987,7/29/1992
10019,d008,4/30/1999,1/1/9999
10020,d004,12/30/1997,1/1/9999
10021,d005,2/10/1988,7/15/2002
10022,d005,9/3/1999,1/1/9999
10023,d005,9/27/1999,1/1/9999
10024,d004,6/14/1998,1/1/9999
10025,d005,8/17/1987,10/15/1997
10026,d004,3/20/1995,1/1/9999
10027,d005,4/2/1995,1/1/9999
10028,d005,10/22/1991,4/6/1998
10029,d004,9/18/1991,7/8/1999
10029,d006,7/8/1999,1/1/9999
10030,d004,2/17/1994,1/1/9999
10031,d005,9/1/1991,1/1/9999
10032,d004,6/20/1990,1/1/9999
10033,d006,3/18/1987,3/24/1993
10034,d007,4/12/1995,10/31/1999
10035,d004,9/5/1988,1/1/9999
10036,d003,4/28/1992,1/1/9999
10037,d005,12/5/1990,1/1/9999
10038,d009,9/20/1989,1/1/9999
10039,d003,1/19/1988,1/1/9999
10040,d005,2/14/1993,1/22/2002
10040,d008,1/22/2002,1/1/9999
10041,d007,11/12/1989,1/1/9999
10042,d002,3/21/1993,8/10/2000
10043,d005,10/20/1990,1/1/9999
10044,d004,5/21/1994,1/1/9999
10045,d004,11/16/1996,1/1/9999
10046,d008,6/20/1992,1/1/9999
10047,d004,3/31/1989,1/1/9999
10048,d005,2/24/1985,1/27/1987
10049,d009,5/4/1992,1/1/9999
10050,d002,12/25/1990,11/5/1992
10050,d007,11/5/1992,1/1/9999
10051,d004,10/15/1992,1/1/9999
10052,d008,1/31/1997,1/1/9999
10053,d007,11/13/1994,1/1/9999
10054,d003,7/29/1995,1/1/9999
10055,d001,4/27/1992,7/22/1995
10056,d005,2/1/1990,1/1/9999
10057,d005,1/15/1992,1/1/9999
10058,d001,4/25/1988,1/1/9999
10059,d002,6/26/1991,1/1/9999
10060,d007,5/28/1989,11/11/1992
10060,d009,11/11/1992,1/1/9999
10061,d007,12/2/1989,1/1/9999
10062,d005,8/30/1991,1/1/9999
10063,d004,4/8/1989,1/1/9999
10064,d008,11/20/1985,3/2/1992
10065,d005,5/24/1998,1/1/9999
10066,d005,2/26/1986,1/1/9999
10067,d006,3/4/1987,1/1/9999
10068,d007,8/7/1987,1/1/9999
10069,d004,6/14/1992,1/1/9999
10070,d005,10/14/1985,10/18/1995
10070,d008,10/18/1995,1/1/9999
10071,d003,8/5/1995,1/1/9999
10072,d005,5/21/1989,1/1/9999
10073,d006,2/2/1998,2/22/1998
10074,d005,8/13/1990,1/1/9999
10075,d005,5/17/1988,1/15/2001
10076,d005,7/15/1996,1/1/9999
10077,d003,12/23/1994,1/1/9999
10078,d005,9/29/1994,1/1/9999
10079,d005,12/13/1995,1/1/9999
10080,d002,9/28/1994,7/9/1997
10080,d003,7/9/1997,1/1/9999
10081,d004,10/30/1986,1/1/9999
10082,d008,1/3/1990,1/15/1990
10083,d004,3/31/1987,1/1/9999
10084,d004,12/15/1995,1/1/9999
10085,d004,4/9/1994,1/1/9999
10086,d003,2/19/1992,1/1/9999
10087,d007,5/8/1997,1/9/2001
10088,d007,9/2/1988,3/21/1992
10088,d009,3/21/1992,1/1/9999
10089,d007,1/10/1989,1/1/9999
10090,d005,3/14/1986,5/7/1999
10091,d005,11/18/1992,1/1/9999
10092,d005,4/22/1996,1/1/9999
10093,d007,6/8/1997,1/1/9999
10094,d008,4/18/1987,11/8/1997
10095,d007,3/10/1994,1/1/9999
10096,d004,1/23/1999,1/1/9999
10097,d008,9/15/1990,1/1/9999
10098,d004,5/13/1985,6/29/1989
10098,d009,6/29/1989,12/11/1992
10099,d007,10/18/1988,1/1/9999
10100,d003,9/21/1987,1/1/9999
10101,d007,10/14/1998,9/23/2000
10102,d004,1/2/1995,1/1/9999
10103,d005,1/12/1998,1/1/9999
10104,d008,4/16/1987,1/1/9999
10105,d003,5/17/1999,6/11/2001
10106,d004,10/27/1991,1/1/9999
10107,d007,3/30/1999,1/1/9999
10108,d001,12/6/1999,10/20/2001
10108,d003,3/20/1999,12/6/1999
10109,d004,6/16/1993,1/1/9999
10110,d003,8/22/1986,1/1/9999
10111,d006,12/19/1988,1/1/9999
10112,d009,5/1/1998,1/1/9999
10113,d004,9/14/1998,1/1/9999
10114,d008,7/17/1992,1/1/9999
10115,d009,3/3/1988,5/24/1992
10116,d005,2/27/1994,12/3/1995
10116,d008,12/3/1995,11/1/1998
10117,d004,3/19/1992,1/1/9999
10118,d005,2/2/1992,1/1/9999
10119,d004,12/9/1993,10/30/1997
10120,d004,7/6/1996,1/1/9999
10121,d005,5/3/1989,1/1/9999
10122,d005,8/6/1998,1/1/9999
10123,d004,1/15/1993,1/1/9999
10124,d004,9/5/1991,6/6/1999
10124,d006,6/6/1999,1/1/9999
10125,d007,10/26/1990,3/25/1996
10126,d009,9/8/1985,1/1/9999
10127,d005,5/17/1991,1/1/9999
10128,d009,6/6/1988,1/1/9999
10129,d005,1/16/1996,1/1/9999
10130,d004,6/21/1988,1/1/9999
10131,d004,9/17/1999,12/6/1999
10132,d002,6/18/1997,1/1/9999
10133,d004,12/15/1985,1/1/9999
10134,d004,12/2/1993,1/1/9999
10134,d005,12/12/1987,12/2/1993
10135,d004,1/4/1990,1/1/9999
10136,d007,6/13/1988,9/20/1999
10137,d009,2/18/1985,1/1/9999
10138,d006,3/3/1992,1/1/9999
10139,d005,3/15/1998,1/1/9999
10140,d001,3/14/1991,1/1/9999
10141,d008,7/23/1998,1/1/9999
10142,d005,10/28/1993,1/1/9999
10143,d005,9/30/1988,1/1/9999
10144,d002,10/14/1985,9/2/1988
10144,d003,9/2/1988,8/10/1993
10145,d005,11/3/1999,1/1/9999
10146,d002,6/28/1988,9/7/1990
10147,d002,12/18/1987,1/1/9999
10148,d007,7/15/1996,1/1/9999
10149,d007,1/28/1994,8/27/1996
10150,d005,11/16/1986,1/1/9999
10151,d007,12/12/1992,1/1/9999
10152,d006,1/27/1986,8/3/1987
10153,d005,1/8/2000,1/1/9999
10154,d009,10/23/1996,1/1/9999
10155,d004,7/12/1990,1/1/9999
10155,d008,1/5/1990,7/12/1990
10156,d006,5/14/1993,1/1/9999
10157,d005,12/10/1997,1/1/9999
10158,d004,6/4/1987,1/1/9999
10159,d006,6/12/1996,1/1/9999
10160,d007,12/6/1993,1/1/9999
10161,d004,6/9/1991,1/5/1994
10162,d004,5/27/1998,1/1/9999
10163,d003,2/2/1992,1/1/9999
10164,d004,10/19/1990,5/31/2000
10164,d009,5/31/2000,1/1/9999
10165,d002,5/17/1988,1/1/9999
10166,d005,9/2/1996,1/1/9999
10167,d004,4/4/1992,1/1/9999
10168,d008,12/6/1986,1/1/9999
10169,d005,6/28/1998,1/1/9999
10170,d004,1/2/1986,2/6/1989
