emp_no,salary,from_date,to_date
10001,60117,6/26/1986,6/26/1987
10001,62102,6/26/1987,6/25/1988
10001,66074,6/25/1988,6/25/1989
10001,66596,6/25/1989,6/25/1990
10001,66961,6/25/1990,6/25/1991
10001,71046,6/25/1991,6/24/1992
10001,74333,6/24/1992,6/24/1993
10001,75286,6/24/1993,6/24/1994
10001,75994,6/24/1994,6/24/1995
10001,76884,6/24/1995,6/23/1996
10001,80013,6/23/1996,6/23/1997
10001,81025,6/23/1997,6/23/1998
10001,81097,6/23/1998,6/23/1999
10001,84917,6/23/1999,6/22/2000
10001,85112,6/22/2000,6/22/2001
10001,85097,6/22/2001,6/22/2002
10001,88958,6/22/2002,1/1/9999
10002,65828,8/3/1996,8/3/1997
10002,65909,8/3/1997,8/3/1998
10002,67534,8/3/1998,8/3/1999
10002,69366,8/3/1999,8/2/2000
10002,71963,8/2/2000,8/2/2001
10002,72527,8/2/2001,1/1/9999
10003,40006,12/3/1995,12/2/1996
10003,43616,12/2/1996,12/2/1997
10003,43466,12/2/1997,12/2/1998
10003,43636,12/2/1998,12/2/1999
10003,43478,12/2/1999,12/1/2000
10003,43699,12/1/2000,12/1/2001
10003,43311,12/1/2001,1/1/9999
10004,40054,12/1/1986,12/1/1987
10004,42283,12/1/1987,11/30/1988
10004,42542,11/30/1988,11/30/1989
10004,46065,11/30/1989,11/30/1990
10004,48271,11/30/1990,11/30/1991
10004,50594,11/30/1991,11/29/1992
10004,52119,11/29/1992,11/29/1993
10004,54693,11/29/1993,11/29/1994
10004,58326,11/29/1994,11/29/1995
10004,60770,11/29/1995,11/28/1996
10004,62566,11/28/1996,11/28/1997
10004,64340,11/28/1997,11/28/1998
10004,67096,11/28/1998,11/28/1999
10004,69722,11/28/1999,11/27/2000
10004,70698,11/27/2000,11/27/2001
10004,74057,11/27/2001,1/1/9999
10005,78228,9/12/1989,9/12/1990
10005,82621,9/12/1990,9/12/1991
10005,83735,9/12/1991,9/11/1992
10005,85572,9/11/1992,9/11/1993
10005,85076,9/11/1993,9/11/1994
10005,86050,9/11/1994,9/11/1995
10005,88448,9/11/1995,9/10/1996
10005,88063,9/10/1996,9/10/1997
10005,89724,9/10/1997,9/10/1998
10005,90392,9/10/1998,9/10/1999
10005,90531,9/10/1999,9/9/2000
10005,91453,9/9/2000,9/9/2001
10005,94692,9/9/2001,1/1/9999
10006,40000,8/5/1990,8/5/1991
10006,42085,8/5/1991,8/4/1992
10006,42629,8/4/1992,8/4/1993
10006,45844,8/4/1993,8/4/1994
