emp_no,title,from_date,to_date
10001,Senior Engineer,6/26/1986,1/1/9999
10002,Staff,8/3/1996,1/1/9999
10003,Senior Engineer,12/3/1995,1/1/9999
10004,Engineer,12/1/1986,12/1/1995
10004,Senior Engineer,12/1/1995,1/1/9999
10005,Senior Staff,9/12/1996,1/1/9999
10005,Staff,9/12/1989,9/12/1996
10006,Senior Engineer,8/5/1990,1/1/9999
10007,Senior Staff,2/11/1996,1/1/9999
10007,Staff,2/10/1989,2/11/1996
10008,Assistant Engineer,3/11/1998,7/31/2000
10009,Assistant Engineer,2/18/1985,2/18/1990
10009,Engineer,2/18/1990,2/18/1995
10009,Senior Engineer,2/18/1995,1/1/9999
10010,Engineer,11/24/1996,1/1/9999
10011,Staff,1/22/1990,11/9/1996
10012,Engineer,12/18/1992,12/18/2000
10012,Senior Engineer,12/18/2000,1/1/9999
10013,Senior Staff,10/20/1985,1/1/9999
10014,Engineer,12/29/1993,1/1/9999
10015,Senior Staff,9/19/1992,8/22/1993
10016,Staff,2/11/1998,1/1/9999
10017,Senior Staff,8/3/2000,1/1/9999
10017,Staff,8/3/1993,8/3/2000
10018,Engineer,4/3/1987,4/3/1995
10018,Senior Engineer,4/3/1995,1/1/9999
10019,Staff,4/30/1999,1/1/9999
10020,Engineer,12/30/1997,1/1/9999
10021,Technique Leader,2/10/1988,7/15/2002
10022,Engineer,9/3/1999,1/1/9999
10023,Engineer,9/27/1999,1/1/9999
10024,Assistant Engineer,6/14/1998,1/1/9999
10025,Technique Leader,8/17/1987,10/15/1997
10026,Engineer,3/20/1995,3/19/2001
10026,Senior Engineer,3/19/2001,1/1/9999
10027,Engineer,4/2/1995,4/1/2001
10027,Senior Engineer,4/1/2001,1/1/9999
10028,Engineer,10/22/1991,4/6/1998
10029,Engineer,9/18/1991,9/17/2000
10029,Senior Engineer,9/17/2000,1/1/9999
10030,Engineer,2/17/1994,2/17/2001
10030,Senior Engineer,2/17/2001,1/1/9999
10031,Engineer,9/1/1991,9/1/1998
10031,Senior Engineer,9/1/1998,1/1/9999
10032,Engineer,6/20/1990,6/20/1995
10032,Senior Engineer,6/20/1995,1/1/9999
10033,Technique Leader,3/18/1987,3/24/1993
10034,Staff,4/12/1995,10/31/1999
10035,Engineer,9/5/1988,9/5/1996
10035,Senior Engineer,9/5/1996,1/1/9999
10036,Senior Staff,4/28/1992,1/1/9999
10037,Engineer,12/5/1990,12/5/1995
10037,Senior Engineer,12/5/1995,1/1/9999
10038,Senior Staff,9/20/1996,1/1/9999
10038,Staff,9/20/1989,9/20/1996
10039,Senior Staff,1/18/1997,1/1/9999
10039,Staff,1/19/1988,1/18/1997
10040,Engineer,2/14/1993,2/14/1999
10040,Senior Engineer,2/14/1999,1/1/9999
10041,Senior Staff,11/12/1998,1/1/9999
10041,Staff,11/12/1989,11/12/1998
10042,Senior Staff,3/21/2000,8/10/2000
10042,Staff,3/21/1993,3/21/2000
10043,Engineer,10/20/1990,10/20/1997
10043,Senior Engineer,10/20/1997,1/1/9999
10044,Technique Leader,5/21/1994,1/1/9999
10045,Engineer,11/16/1996,1/1/9999
10046,Senior Staff,6/20/2000,1/1/9999
10046,Staff,6/20/1992,6/20/2000
10047,Engineer,3/31/1989,3/31/1998
10047,Senior Engineer,3/31/1998,1/1/9999
10048,Engineer,2/24/1985,1/27/1987
10049,Senior Staff,5/4/2000,1/1/9999
10049,Staff,5/4/1992,5/4/2000
10050,Senior Staff,12/25/1999,1/1/9999
10050,Staff,12/25/1990,12/25/1999
10051,Engineer,10/15/1992,10/15/1998
10051,Senior Engineer,10/15/1998,1/1/9999
10052,Senior Staff,1/31/2002,1/1/9999
10052,Staff,1/31/1997,1/31/2002
10053,Senior Staff,11/13/1994,1/1/9999
10054,Senior Staff,7/28/2000,1/1/9999
10054,Staff,7/29/1995,7/28/2000
10055,Staff,4/27/1992,7/22/1995
10056,Engineer,2/1/1990,2/1/1999
10056,Senior Engineer,2/1/1999,1/1/9999
10057,Engineer,1/15/1992,1/15/2000
10057,Senior Engineer,1/15/2000,1/1/9999
10058,Senior Staff,4/25/1988,1/1/9999
10059,Senior Staff,6/26/1991,1/1/9999
10060,Senior Staff,5/28/1996,1/1/9999
10060,Staff,5/28/1989,5/28/1996
10061,Senior Staff,12/2/1989,1/1/9999
10062,Engineer,8/30/1991,8/30/1999
10062,Senior Engineer,8/30/1999,1/1/9999
10063,Senior Engineer,4/8/1989,1/1/9999
10064,Staff,11/20/1985,3/2/1992
10065,Engineer,5/24/1998,1/1/9999
10066,Assistant Engineer,2/26/1986,2/26/1992
10066,Engineer,2/26/1992,2/25/1998
10066,Senior Engineer,2/25/1998,1/1/9999
10067,Engineer,3/4/1987,3/3/1996
10067,Senior Engineer,3/3/1996,1/1/9999
10068,Senior Staff,8/6/1996,1/1/9999
10068,Staff,8/7/1987,8/6/1996
10069,Technique Leader,6/14/1992,1/1/9999
10070,Technique Leader,10/14/1985,1/1/9999
10071,Staff,8/5/1995,1/1/9999
10072,Engineer,5/21/1989,5/21/1995
10072,Senior Engineer,5/21/1995,1/1/9999
10073,Engineer,2/2/1998,2/22/1998
10074,Technique Leader,8/13/1990,1/1/9999
10075,Senior Engineer,5/17/1988,1/15/2001
10076,Senior Engineer,7/15/1996,1/1/9999
10077,Staff,12/23/1994,1/1/9999
10078,Engineer,9/29/1994,1/1/9999
10079,Technique Leader,12/13/1995,1/1/9999
10080,Senior Staff,9/28/2001,1/1/9999
10080,Staff,9/28/1994,9/28/2001
10081,Engineer,10/30/1986,10/30/1991
10081,Senior Engineer,10/30/1991,1/1/9999
10082,Staff,1/3/1990,1/15/1990
10083,Engineer,3/31/1987,3/31/1994
10083,Senior Engineer,3/31/1994,1/1/9999
10084,Engineer,12/15/1995,12/14/2001
10084,Senior Engineer,12/14/2001,1/1/9999
10085,Senior Engineer,4/9/1994,1/1/9999
10086,Senior Staff,2/19/1999,1/1/9999
10086,Staff,2/19/1992,2/19/1999
10087,Staff,5/8/1997,1/9/2001
10088,Senior Staff,9/2/1993,1/1/9999
10088,Staff,9/2/1988,9/2/1993
10089,Senior Staff,1/11/1996,1/1/9999
10089,Staff,1/10/1989,1/11/1996
10090,Senior Engineer,3/14/1986,5/7/1999
10091,Engineer,11/18/1992,11/18/2001
10091,Senior Engineer,11/18/2001,1/1/9999
10092,Engineer,4/22/1996,1/1/9999
10093,Staff,6/8/1997,1/1/9999
10094,Senior Staff,4/18/1987,11/8/1997
10095,Senior Staff,3/9/2000,1/1/9999
10095,Staff,3/10/1994,3/9/2000
10096,Engineer,1/23/1999,1/1/9999
10097,Senior Staff,9/14/1996,1/1/9999
10097,Staff,9/15/1990,9/14/1996
10098,Engineer,5/13/1985,5/13/1992
10098,Senior Engineer,5/13/1992,12/11/1992
10099,Senior Staff,10/19/1995,1/1/9999
10099,Staff,10/18/1988,10/19/1995
10100,Senior Staff,9/21/1994,1/1/9999
10100,Staff,9/21/1987,9/21/1994
10101,Staff,10/14/1998,9/23/2000
10102,Assistant Engineer,1/2/1995,1/2/2002
10102,Engineer,1/2/2002,1/1/9999
10103,Engineer,1/12/1998,1/1/9999
10104,Senior Staff,4/16/1987,1/1/9999
10105,Staff,5/17/1999,6/11/2001
10106,Engineer,10/27/1991,10/26/1997
10106,Senior Engineer,10/26/1997,1/1/9999
10107,Senior Staff,3/30/1999,1/1/9999
10108,Staff,3/20/1999,10/20/2001
10109,Engineer,6/16/1993,6/16/2001
10109,Senior Engineer,6/16/2001,1/1/9999
10110,Senior Staff,8/21/1992,1/1/9999
10110,Staff,8/22/1986,8/21/1992
10111,Engineer,12/19/1988,12/19/1996
10111,Senior Engineer,12/19/1996,1/1/9999
10112,Staff,5/1/1998,1/1/9999
10113,Engineer,9/14/1998,1/1/9999
10114,Senior Staff,7/18/1999,1/1/9999
10114,Staff,7/17/1992,7/18/1999
10115,Staff,3/3/1988,5/24/1992
10116,Senior Engineer,2/27/1994,11/1/1998
10117,Senior Engineer,3/19/1992,1/1/9999
10118,Senior Engineer,2/2/1992,1/1/9999
10119,Engineer,12/9/1993,10/30/1997
10120,Engineer,7/6/1996,1/1/9999
10121,Engineer,5/3/1989,5/3/1996
10121,Senior Engineer,5/3/1996,1/1/9999
10122,Technique Leader,8/6/1998,1/1/9999
10123,Assistant Engineer,1/15/1993,1/15/1999
10123,Engineer,1/15/1999,1/1/9999
10124,Engineer,9/5/1991,9/5/1998
10124,Senior Engineer,9/5/1998,1/1/9999
10125,Staff,10/26/1990,3/25/1996
10126,Senior Staff,9/8/1991,1/1/9999
10126,Staff,9/8/1985,9/8/1991
10127,Senior Engineer,5/17/1991,1/1/9999
10128,Senior Staff,6/7/1995,1/1/9999
10128,Staff,6/6/1988,6/7/1995
10129,Technique Leader,1/16/1996,1/1/9999
10130,Senior Engineer,6/21/1988,1/1/9999
10131,Engineer,9/17/1999,12/6/1999
10132,Staff,6/18/1997,1/1/9999
10133,Engineer,12/15/1985,12/15/1991
10133,Senior Engineer,12/15/1991,1/1/9999
10134,Engineer,12/12/1987,12/12/1994
10134,Senior Engineer,12/12/1994,1/1/9999
10135,Assistant Engineer,1/4/1990,1/4/1999
10135,Engineer,1/4/1999,1/1/9999
10136,Senior Staff,6/13/1997,9/20/1999
10136,Staff,6/13/1988,6/13/1997
10137,Senior Staff,2/18/1994,1/1/9999
10137,Staff,2/18/1985,2/18/1994
10138,Engineer,3/3/1992,3/3/2001
10138,Senior Engineer,3/3/2001,1/1/9999
10139,Engineer,3/15/1998,1/1/9999
10140,Senior Staff,3/14/1998,1/1/9999
10140,Staff,3/14/1991,3/14/1998
10141,Senior Staff,7/23/1998,1/1/9999
10142,Engineer,10/28/1993,10/28/2001
10142,Senior Engineer,10/28/2001,1/1/9999
10143,Engineer,9/30/1988,9/30/1993
10143,Senior Engineer,9/30/1993,1/1/9999
10144,Senior Staff,10/14/1992,8/10/1993
10144,Staff,10/14/1985,10/14/1992
10145,Engineer,11/3/1999,1/1/9999
10146,Staff,6/28/1988,9/7/1990
10147,Senior Staff,12/18/1995,1/1/9999
10147,Staff,12/18/1987,12/18/1995
10148,Staff,7/15/1996,1/1/9999
10149,Staff,1/28/1994,8/27/1996
10150,Engineer,11/16/1986,11/16/1995
10150,Senior Engineer,11/16/1995,1/1/9999
10151,Senior Staff,12/12/1997,1/1/9999
10151,Staff,12/12/1992,12/12/1997
10152,Engineer,1/27/1986,8/3/1987
10153,Assistant Engineer,1/8/2000,1/1/9999
10154,Staff,10/23/1996,1/1/9999
10155,Senior Staff,1/5/1996,1/1/9999
10155,Staff,1/5/1990,1/5/1996
10156,Engineer,5/14/1993,5/14/2001
10156,Senior Engineer,5/14/2001,1/1/9999
10157,Senior Engineer,12/10/1997,1/1/9999
10158,Engineer,6/4/1987,6/3/1996
10158,Senior Engineer,6/3/1996,1/1/9999
10159,Senior Engineer,6/12/1996,1/1/9999
10160,Senior Staff,12/6/2000,1/1/9999
10160,Staff,12/6/1993,12/6/2000
10161,Engineer,6/9/1991,1/5/1994
10162,Engineer,5/27/1998,1/1/9999
10163,Senior Staff,2/2/1992,1/1/9999
10164,Engineer,10/19/1990,10/19/1999
10164,Senior Engineer,10/19/1999,1/1/9999
10165,Senior Staff,5/17/1988,1/1/9999
10166,Engineer,9/2/1996,1/1/9999
10167,Engineer,4/4/1992,4/4/2001
10167,Senior Engineer,4/4/2001,1/1/9999
10168,Senior Staff,12/6/1995,1/1/9999
10168,Staff,12/6/1986,12/6/1995
10169,Engineer,6/28/1998,1/1/9999
10170,Engineer,1/2/1986,2/6/1989
10171,Technique Leader,8/5/1996,1/1/9999
10172,Engineer,2/4/1998,1/1/9999
10173,Senior Staff,3/22/1999,1/1/9999
10173,Staff,3/21/1992,3/22/1999
10174,Engineer,6/1/1987,6/1/1995
10174,Senior Engineer,6/1/1995,1/1/9999
10175,Staff,9/24/1988,5/24/1995
10176,Senior Staff,12/22/1999,1/1/9999
10176,Staff,12/22/1994,12/22/1999
10177,Staff,2/6/1993,3/17/1994
10178,Staff,3/21/1994,1/1/9999
10179,Engineer,1/25/2000,1/1/9999
10180,Senior Staff,7/1/2002,1/1/9999
10180,Staff,7/1/1994,7/1/2002
10181,Senior Engineer,6/22/1988,1/1/9999
10182,Engineer,9/2/1990,9/2/1995
10182,Senior Engineer,9/2/1995,1/1/9999
10183,Staff,8/11/1996,1/1/9999
10184,Staff,12/26/1997,1/1/9999
10185,Senior Staff,2/29/1992,1/1/9999
10185,Staff,3/1/1986,2/29/1992
10186,Staff,12/25/1996,8/16/1997
10187,Senior Staff,5/31/2000,1/1/9999
10187,Staff,6/1/1991,5/31/2000
10188,Senior Engineer,8/27/1987,1/1/9999
10189,Engineer,9/13/1992,6/29/1993
10190,Engineer,6/23/1986,6/23/1994
10190,Senior Engineer,6/23/1994,1/1/9999
10191,Senior Engineer,4/10/1986,1/1/9999
10192,Engineer,6/13/1988,6/13/1993
10192,Senior Engineer,6/13/1993,1/1/9999
10193,Engineer,9/21/1996,1/1/9999
10194,Senior Staff,2/14/2002,1/1/9999
10194,Staff,2/14/1997,2/14/2002
10195,Engineer,2/15/1985,2/15/1991
10195,Senior Engineer,2/15/1991,4/14/2001
10196,Staff,1/31/1999,1/1/9999
10197,Engineer,6/28/1994,6/28/2001
10197,Senior Engineer,6/28/2001,1/1/9999
10198,Engineer,8/31/1985,8/31/1993
10198,Senior Engineer,8/31/1993,1/1/9999
10199,Staff,2/7/1998,1/1/9999
10200,Engineer,2/17/1994,2/17/2000
10200,Senior Engineer,2/17/2000,1/1/9999
10201,Engineer,11/10/1992,11/10/1998
10201,Senior Engineer,11/10/1998,1/1/9999
10202,Engineer,10/6/1991,10/5/2000
10202,Senior Engineer,10/5/2000,1/1/9999
10203,Senior Staff,4/6/1995,1/1/9999
10203,Staff,4/6/1989,4/6/1995
10204,Engineer,12/18/1998,3/8/1999
10205,Senior Engineer,8/23/1993,1/1/9999
10206,Technique Leader,4/19/1988,1/1/9999
10207,Engineer,10/11/1992,10/11/1997
10207,Senior Engineer,10/11/1997,1/1/9999
10208,Staff,2/5/1995,5/15/1999
10209,Senior Staff,11/22/1997,1/1/9999
